"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test example API","Test GET favorites","0","0","1","0","0"
"","Test example API","Test example GET patched favorite","0","0","2","0","0"
"","Test example API","Test POST airport distance","0","0","1","0","0"
"","Test example API","Test example PATCH favorite","0","0","1","0","0"
"","Test example API","Test GET single airport","0","0","1","0","0"
"","Test example API","Test GET API token","0","0","1","0","0"
"","Test example API","Test GET created favorite","0","0","1","0","0"
"","Test example API","Test example DELETE favorite","0","0","1","0","0"
"","Test example API","Test POST favorite","0","0","1","0","0"
"","Test example API","Test GET all airports","0","0","1","0","0"
