"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 03 22:53:31 CET 2023","Sun Dec 03 22:53:32 CET 2023","276","tests","test_airports","TestClass","","","Verify the get API","verify the GET API response status code and data"
"passed","Sun Dec 03 22:53:34 CET 2023","Sun Dec 03 22:53:34 CET 2023","744","tests","test_airports","TestClass","","","Verify the GET patched favorite","verify the GET API response status code and data"
"passed","Sun Dec 03 22:53:30 CET 2023","Sun Dec 03 22:53:31 CET 2023","273","tests","test_airports","TestClass","","","Verify the POST airport distance","verify the POST API response status code and data"
"passed","Sun Dec 03 22:53:33 CET 2023","Sun Dec 03 22:53:33 CET 2023","306","tests","test_airports","TestClass","","","Verify the PATCH favorite","verify the PATCH API response status code and data"
"passed","Sun Dec 03 22:53:30 CET 2023","Sun Dec 03 22:53:30 CET 2023","286","tests","test_airports","TestClass","","","Verify the GET single airport","verify the GET API response status code and data"
"passed","Sun Dec 03 22:53:31 CET 2023","Sun Dec 03 22:53:31 CET 2023","659","tests","test_airports","TestClass","","","Verify the GET API token","verify the GET API response status code and data"
"passed","Sun Dec 03 22:53:32 CET 2023","Sun Dec 03 22:53:33 CET 2023","801","tests","test_airports","TestClass","","","Verify the GET created favorite","verify the get API response status code and data"
"passed","Sun Dec 03 22:53:33 CET 2023","Sun Dec 03 22:53:34 CET 2023","273","tests","test_airports","TestClass","","","Verify the DELETE API","verify the DELETE API response status code and data"
"passed","Sun Dec 03 22:53:32 CET 2023","Sun Dec 03 22:53:32 CET 2023","288","tests","test_airports","TestClass","","","Verify the POST favorite","verify the POST API response status code and data"
"passed","Sun Dec 03 22:53:33 CET 2023","Sun Dec 03 22:53:33 CET 2023","302","tests","test_airports","TestClass","","","Verify the GET patched favorite","verify the GET API response status code and data"
"passed","Sun Dec 03 22:53:30 CET 2023","Sun Dec 03 22:53:30 CET 2023","465","tests","test_airports","TestClass","","","Verify the GET airports","verify the GET API response status code and data"
